# 83152a03-5a7d-4996-812c-ab17bdbcf0fd
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-13.6470266; 5.2487112; 0.7541789; 0.8582211; -0.9990830; 0.0428166; 0.5530841; 0.0000000; 3.1358160; -0.0480655; 6.5453358; 4.4408806
-13.6495607; 5.1921496; 0.7541789; 0.8582211; -0.9989107; 0.0466630; 0.5510297; 0.0545314; 3.1334061; -0.0482810; 6.5791719; 4.4319752
-13.6523159; 5.1354111; 0.7549538; 0.8597738; -0.9987338; 0.0503073; 0.5489015; 0.1093715; 3.1310415; -0.0461655; 6.6127676; 4.4230877
-13.6552817; 5.0785058; 0.7617452; 0.8726003; -0.9985542; 0.0537536; 0.5467052; 0.1645074; 3.1287822; -0.0442837; 6.6461266; 4.4142179
-13.6584476; 5.0214436; 0.7722558; 0.8895481; -0.9983739; 0.0570055; 0.5444456; 0.2199264; 3.1266170; -0.0422660; 6.6792526; 4.4053660
-13.6618031; 4.9642348; 0.7832017; 0.9070800; -0.9981944; 0.0600665; 0.5421271; 0.2756160; 3.1226044; -0.0379142; 6.7448199; 4.3877153
-13.6653376; 4.9068893; 0.7845797; 0.9154203; -0.9980173; 0.0629397; 0.5397535; 0.3315635; 3.1207655; -0.0356092; 6.7772680; 4.3789165
-13.6690408; 4.8494172; 0.7806900; 0.9193100; -0.9978441; 0.0656283; 0.5373278; 0.3877562; 3.1190439; -0.0332310; 6.8094969; 4.3701354
-13.6729019; 4.7918286; 0.7770333; 0.9229667; -0.9976761; 0.0681350; 0.5348526; 0.4441815; 3.1174431; -0.0307848; 6.8415098; 4.3613719
-13.6769106; 4.7341335; 0.7825290; 0.9174710; -0.9975144; 0.0704624; 0.5323301; 0.5008270; 3.1159666; -0.0282764; 6.8733099; 4.3526259
-13.6810564; 4.6763420; 0.8187637; 0.8812363; -0.9973602; 0.0726129; 0.5297618; 0.5576801; 3.1146177; -0.0257012; 6.9049001; 4.3438975
